".Skagway Municipality, Alaska","1,095",442.928,10.726,453.654
".Southeast Fairbanks Census Area, Alaska","7,077",24832.27,289.304,25121.574
".Wrangell City and Borough, Alaska","2,064",2556.097,915.037,3471.134
".Yakutat City and Borough, Alaska",687,7627.587,1537.02,9164.607
".Yukon-Koyukuk Census Area, Alaska","5,129",145769.125,2109.027,147878.152
".Apache County, Arizona","65,036",11198.31,20.904,11219.214
".Cochise County, Arizona","124,640",6209.863,6.814,6216.677
".Coconino County, Arizona","144,472",18616.352,45.035,18661.387
".Gila County, Arizona","54,003",4757.578,37.246,4794.824
".Graham County, Arizona","39,525",4621.877,18.331,4640.208
".Greenlee County, Arizona","9,369",1842.838,4.613,1847.451
".La Paz County, Arizona","16,710",4496.579,14.098,4510.677
".Maricopa County, Arizona","4,585,871",9202.016,23.98,9225.996
".Mohave County, Arizona","223,682",13332.117,128.726,13460.843
".Navajo County, Arizona","109,175",9949.496,9.313,9958.809
".Pima County, Arizona","1,063,162",9188.683,1.974,9190.657
".Pinal County, Arizona","484,239",5366.677,8.011,5374.688
".Santa Cruz County, Arizona","49,158",1236.26,1.185,1237.445
".Yavapai County, Arizona","249,081",8122.932,4.385,8127.317
".Yuma County, Arizona","213,221",5513.82,5.113,5518.933
".Arkansas County, Arkansas","16,307",992.14,46.602,1038.742
".Ashley County, Arkansas","18,262",925.492,14.925,940.417
".Baxter County, Arkansas","42,875",553.931,32.786,586.717
".Benton County, Arkansas","311,013",847.733,36.63,884.363
".Boone County, Arkansas","38,530",589.723,12.277,602
".Bradley County, Arkansas","10,104",649.167,3.67,652.837
".Calhoun County, Arkansas","4,641",628.601,3.818,632.419
".Carroll County, Arkansas","28,814",629.928,8.771,638.699
".Chicot County, Arkansas","9,538",636.978,54.214,691.192
".Clark County, Arkansas","21,274",865.971,16.975,882.946
".Clay County, Arkansas","14,201",639.224,2.123,641.347
".Cleburne County, Arkansas","25,445",553.959,38.18,592.139
".Cleveland County, Arkansas","7,378",597.91,0.989,598.899
".Columbia County, Arkansas","22,150",766.065,0.767,766.832
".Conway County, Arkansas","21,077",551.924,14.571,566.495
".Craighead County, Arkansas","113,993",707.166,5.525,712.691
".Crawford County, Arkansas","61,891",595.269,10.393,605.662
".Crittenden County, Arkansas","47,139",611.812,32.02,643.832
".Cross County, Arkansas","16,420",616.318,5.942,622.26
".Dallas County, Arkansas","6,185",667.323,0.668,667.991
".Desha County, Arkansas","10,479",741.227,71.499,812.726
".Drew County, Arkansas","16,945",828.667,7.255,835.922
".Faulkner County, Arkansas","129,951",647.247,16.837,664.084
".Franklin County, Arkansas","17,468",608.967,11.141,620.108
".Fulton County, Arkansas","12,421",617.994,2.455,620.449
".Garland County, Arkansas","99,784",677.615,56.932,734.547
".Grant County, Arkansas","18,383",631.888,1.118,633.006
".Greene County, Arkansas","46,743",577.34,2.036,579.376
".Hempstead County, Arkansas","19,343",727.2,13.798,740.998
".Hot Spring County, Arkansas","33,258",614.944,7.23,622.174
".Howard County, Arkansas","12,533",587.332,8.248,595.58
".Independence County, Arkansas","38,320",763.712,7.819,771.531
".Izard County, Arkansas","14,169",580.201,3.698,583.899
".Jackson County, Arkansas","16,784",633.611,7.832,641.443
".Jefferson County, Arkansas","63,661",872.346,43.657,916.003
".Johnson County, Arkansas","26,129",660.99,22.984,683.974
".Lafayette County, Arkansas","6,095",529.472,16.613,546.085
".Lawrence County, Arkansas","16,318",587.528,4.786,592.314
".Lee County, Arkansas","8,201",599.807,22.339,622.146
".Lincoln County, Arkansas","12,898",559.466,10.306,569.772
".Little River County, Arkansas","11,805",531.255,32.091,563.346
".Logan County, Arkansas","21,400",709.115,20.838,729.953
".Lonoke County, Arkansas","75,944",771.723,31.665,803.388
".Madison County, Arkansas","17,775",834.238,2.879,837.117
".Marion County, Arkansas","17,514",596.598,43.611,640.209
".Miller County, Arkansas","42,415",624.04,14.227,638.267
".Mississippi County, Arkansas","38,663",902.093,27.886,929.979
".Monroe County, Arkansas","6,512",607.461,13.787,621.248
".Montgomery County, Arkansas","8,620",780.453,20.455,800.908
".Nevada County, Arkansas","8,120",617.79,2.892,620.682
".Newton County, Arkansas","7,071",821.076,2.292,823.368
".Ouachita County, Arkansas","21,793",732.721,7.021,739.742
".Perry County, Arkansas","10,184",551.336,9.432,560.768
".Phillips County, Arkansas","14,961",690.36,37.053,727.413
".Pike County, Arkansas","10,208",600.335,13.624,613.959
".Poinsett County, Arkansas","22,397",758.295,5.364,763.659
".Polk County, Arkansas","19,436",856.838,4.834,861.672
".Pope County, Arkansas","64,593",810.952,19.603,830.555
".Prairie County, Arkansas","8,036",647.516,28.046,675.562
".Pulaski County, Arkansas","400,009",758.369,49.028,807.397
".Randolph County, Arkansas","18,907",651.913,4.004,655.917
".St. Francis County, Arkansas","22,101",634.784,7.729,642.513
".Saline County, Arkansas","129,574",723.516,6.933,730.449
".Scott County, Arkansas","9,851",892.85,5.55,898.4
".Searcy County, Arkansas","7,806",665.879,2.495,668.374
".Sebastian County, Arkansas","129,098",531.184,13.324,544.508
".Sevier County, Arkansas","15,632",563.569,17.73,581.299
".Sharp County, Arkansas","17,968",604.637,2.016,606.653
".Stone County, Arkansas","12,671",606.44,3.145,609.585
".Union County, Arkansas","37,397",1039.067,16.256,1055.323
".Van Buren County, Arkansas","16,142",709.571,14.365,723.936
".Washington County, Arkansas","261,549",941.463,10.76,952.223
".White County, Arkansas","78,452",1033.966,8.047,1042.013
".Woodruff County, Arkansas","5,964",585.973,8.133,594.106
".Yell County, Arkansas","20,044",930.386,18.145,948.531
".Alameda County, California","1,622,188",737.459,83.749,821.208
".Alpine County, California","1,141",738.34,4.848,743.188
".Amador County, California","41,811",594.585,11.366,605.951
".Butte County, California","207,172",1636.512,40.62,1677.132
".Calaveras County, California","46,565",1020.016,16.91,1036.926
".Colusa County, California","22,037",1150.679,5.674,1156.353
".Contra Costa County, California","1,155,025",716.897,87.013,803.91
".Del Norte County, California","26,589",1006.202,223.48,1229.682
".El Dorado County, California","192,215",1707.841,78.519,1786.36
".Fresno County, California","1,017,162",5958.582,52.756,6011.338
".Glenn County, California","28,129",1313.976,13.001,1326.977
".Humboldt County, California","133,985",3568.024,484.231,4052.255
".Imperial County, California","179,057",4175.528,305.073,4480.601
".Inyo County, California","18,527",10197.261,29.838,10227.099
".Kern County, California","913,820",8134.673,30.244,8164.917
".Kings County, California","152,682",1390.972,1.222,1392.194
".Lake County, California","67,878",1255.1,72.994,1328.094
".Lassen County, California","28,861",4541.369,178.746,4720.115
".Los Angeles County, California","9,663,345",4060.254,689.186,4749.44
".Madera County, California","162,858",2136.709,16.319,2153.028
".Marin County, California","254,407",520.141,308.036,828.177
".Mariposa County, California","16,919",1448.84,13.985,1462.825
".Mendocino County, California","89,108",3506.807,371.347,3878.154
".Merced County, California","291,920",1938.004,40.648,1978.652
".Modoc County, California","8,500",3948.233,255.022,4203.255
".Mono County, California","13,066",3048.904,82.894,3131.798
".Monterey County, California","430,723",3281.718,489.503,3771.221
".Napa County, California","133,216",751.975,40.326,792.301
".Nevada County, California","102,037",957.76,16.036,973.796
".Orange County, California","3,135,755",792.867,156.85,949.717
".Placer County, California","423,561",1407.073,95.162,1502.235
".Plumas County, California","19,131",2553.062,60.382,2613.444
".Riverside County, California","2,492,442",7209.254,93.769,7303.023
".Sacramento County, California","1,584,288",965.28,29.083,994.363
".San Benito County, California","68,175",1388.652,1.822,1390.474
".San Bernardino County, California","2,195,611",20068.167,37.227,20105.394
".San Diego County, California","3,269,973",4210.462,315.266,4525.728
".San Francisco County, California","808,988",46.685,185.214,231.899
".San Joaquin County, California","800,965",1392.238,34.363,1426.601
".San Luis Obispo County, California","281,639",3300.842,314.924,3615.766
".San Mateo County, California","726,353",448.62,292.342,740.962
".Santa Barbara County, California","441,257",2733.941,1053.75,3787.691
".Santa Clara County, California","1,877,592",1291.084,12.972,1304.056
".Santa Cruz County, California","261,547",445.106,162.055,607.161
".Shasta County, California","180,366",3775.651,71.745,3847.396
".Sierra County, California","3,200",953.168,8.996,962.164
".Siskiyou County, California","42,905",6278.767,69.171,6347.938
".Solano County, California","449,218",821.736,84.408,906.144
".Sonoma County, California","481,812",1575.337,192.005,1767.342
".Stanislaus County, California","551,430",1496.15,17.907,1514.057
".Sutter County, California","97,948",602.696,5.719,608.415
".Tehama County, California","64,896",2949.137,13.038,2962.175
".Trinity County, California","15,670",3179.268,28.343,3207.611
".Tulare County, California","479,468",4823.9,14.387,4838.287
".Tuolumne County, California","54,204",2220.912,53.54,2274.452
".Ventura County, California","829,590",1840.78,365.779,2206.559
".Yolo County, California","220,544",1012.988,8.837,1021.825
".Yuba County, California","85,722",632.006,12.002,644.008
".Adams County, Colorado","533,365",1166.792,16.821,1183.613
".Alamosa County, Colorado","16,655",722.645,0.645,723.29
".Arapahoe County, Colorado","656,061",797.887,7.642,805.529
".Archuleta County, Colorado","14,189",1350.088,5.305,1355.393
".Baca County, Colorado","3,344",2554.993,2.372,2557.365
".Bent County, Colorado","5,681",1512.847,28.24,1541.087
".Boulder County, Colorado","326,831",726.408,14.063,740.471
".Broomfield County, Colorado","76,860",32.968,0.58,33.548
".Chaffee County, Colorado","20,617",1013.408,1.544,1014.952
".Cheyenne County, Colorado","1,727",1778.276,3.153,1781.429
".Clear Creek County, Colorado","9,147",395.073,1.264,396.337
".Conejos County, Colorado","7,521",1287.428,3.566,1290.994
".Costilla County, Colorado","3,628",1227.593,3.409,1231.002
